seller_id,seller_city,seller_state,total_orders,total_revenue,avg_review_score,avg_delivery_days,cancellation_rate,on_time_rate,cluster,grade,segment
bfd27a966d91cfaafdb25d076585f0da,serra negra,SP,117,22636.0,4.28,11.9,0.0,92.37,3,A,Premium
48162d548f5b1b11b9d29d1e01f75a61,piracicaba,SP,68,22595.0,3.76,10.8,1.1,95.6,3,A,Premium
dc317f341ab0e22f39acbd9dbf9b4a1f,cachoeirinha,RS,55,22572.0,4.12,11.8,0.0,94.83,2,B,Stable
44073f8b7e41514de3b7815dd0237f4f,brasilia,DF,144,21912.0,3.76,12.7,0.0,94.12,3,A,Premium
0c8380b62e38e8a1e6adbeba7eb9688c,tres coracoes,MG,182,21764.0,4.04,12.0,0.0,94.14,3,A,Premium
128639473a139ac0f3e5f5ade55873a5,maringa,PR,533,21664.0,4.18,14.0,0.0,92.68,3,A,Premium
41b39e28db005d9731d9d485a83b4c38,santo andre,SP,195,21619.0,4.13,11.9,0.84,91.18,3,A,Premium
cd68562d3f44870c08922d380acae552,ribeirao preto,SP,125,20779.0,3.84,16.3,0.76,78.03,3,A,Premium
76d64c4aca3a7baf218bf93ef7fa768d,curitiba,PR,64,20746.0,4.13,10.2,0.0,97.14,3,A,Premium
821fb029fc6e495ca4f08a35d51e53a5,sao paulo,SP,28,20739.0,3.43,16.0,3.45,55.17,0,D,At Risk
fa40cc5b934574b62717c68f3d678b6d,sao paulo,SP,307,20707.0,4.43,10.7,0.29,93.26,3,A,Premium
86ccac0b835037332a596a33b6949ee1,blumenau,SC,180,20704.0,4.0,11.4,0.47,96.23,3,A,Premium
54a1852d1b8f10312c55e906355666ee,santa barbara d'oeste,SP,200,20695.0,4.34,11.1,0.0,89.27,3,A,Premium
7aa4334be125fcdd2ba64b3180029f14,laranjal paulista,SP,217,20660.0,4.05,15.5,0.0,85.42,3,A,Premium
96493fab2fbb13a14d0c0e8772eef5c3,sao paulo,SP,63,20176.0,4.03,12.9,0.0,93.75,3,A,Premium
d650b663c3b5f6fb392b6326366efa9a,cotia,SP,60,20153.0,4.2,9.3,0.0,88.33,3,A,Premium
2a5b78b41cd05baeac8df54c6606b92c,formiga,MG,49,20141.0,4.08,8.9,0.0,91.67,2,B,Stable
1e8b33f18b4f7598d87f5cbee2282cc2,sao paulo,SP,123,20036.0,4.28,7.4,0.0,95.0,3,A,Premium
527801b552d0077ffd170872eb49683b,garca,SP,90,20010.0,4.48,12.5,0.0,90.22,3,A,Premium
c33847515fa6305ce6feb1e818569f13,brusque,SC,114,19901.0,3.72,9.1,0.0,95.31,3,A,Premium
79ebd9a61bac3eaf882805ed4ecfa12a,cascavel,PR,136,19452.0,4.01,14.8,0.0,92.41,3,A,Premium
2a84855fd20af891be03bc5924d2b453,belo horizonte,MG,164,19410.0,4.23,8.1,1.78,91.12,3,A,Premium
4b9750c8ad28220fe6702d4ecb7c898f,limeira,SP,218,19332.0,4.35,9.0,0.0,91.89,3,A,Premium
9de4643a8dbde634fe55621059d92273,joinville,SC,72,19286.0,4.53,14.4,0.0,93.83,2,B,Stable
165fc07beebdcb6190fba8a06db2a449,maringa,PR,50,19083.0,3.69,13.2,0.0,87.5,2,B,Stable
4a3ccda38b2129705f3fb522db62ca31,marilia,SP,66,19083.0,3.73,12.8,5.06,84.81,0,D,At Risk
4c2b230173bb36f9b240f2b8ac11786e,sao paulo,SP,261,19081.0,3.76,12.4,0.0,90.2,3,A,Premium
213b25e6f54661939f11710a6fddb871,salto,SP,155,19001.0,3.79,14.8,0.0,87.18,3,A,Premium
a888faf2d1baececa6baf9c3d603ee1f,umuarama,PR,54,18894.0,4.05,17.4,0.0,83.64,2,B,Stable
94144541854e298c2d976cb893b81343,viamao,RS,68,18770.0,4.29,11.8,0.0,96.1,3,A,Premium
c72de06d72748d1a0dfb2125be43ba63,guanambi,BA,21,18731.0,4.45,9.1,0.0,100.0,2,B,Stable
ef0ace09169ac090589d85746e3e036f,sao goncalo,RJ,129,18722.0,4.34,12.2,0.0,91.49,3,A,Premium
2138ccb85b11a4ec1e37afbd1c8eda1f,sao paulo,SP,396,18508.0,3.9,10.7,0.93,92.33,3,A,Premium
0adac9fbd9a2b63cccaac4f8756c1ca8,louveira,SP,110,18497.0,3.89,12.3,4.9,89.51,3,A,Premium
abe42c5d03695b4257b5c6cbf4e6784e,rio de janeiro,RJ,50,18157.0,3.92,13.9,0.0,82.0,2,B,Stable
229c3efbfb0ea2058de4ccdfbc3d784a,belo horizonte,MG,121,18098.0,3.64,10.4,0.0,95.95,3,A,Premium
1b4c3a6f53068f0b6944d2d005c9fc89,sao ludgero,SC,113,17890.0,4.11,13.8,0.0,92.37,3,A,Premium
8ae520247981aa06bc94abddf5f46d34,navegantes,SC,65,17769.0,4.45,10.5,0.0,98.46,3,A,Premium
01fdefa7697d26ad920e9e0346d4bd1b,londrina,PR,129,17694.0,4.35,10.3,0.0,93.13,3,A,Premium
66922902710d126a0e7d26b0e3805106,belo horizonte,MG,151,17579.0,4.45,11.0,0.0,92.31,3,A,Premium
5cf13accae3222c70a9cac40818ae839,patos de minas,MG,149,17439.0,4.44,10.1,0.0,96.15,3,A,Premium
e5a38146df062edaf55c38afa99e42dc,sao paulo,SP,121,17427.0,3.95,11.7,0.0,90.55,3,A,Premium
d921b68bf747894be13a97ae52b0f386,formiga,MG,77,17407.0,4.56,9.5,0.0,98.7,3,A,Premium
ce248b21cb2adc36282ede306b7660e5,jaragua do sul,SC,65,17400.0,4.21,15.2,1.49,88.06,3,A,Premium
d94a40fd42351c259927028d163af842,baependi,MG,101,17218.0,4.1,13.2,0.0,95.45,3,A,Premium
c3acdfac4e3e97ff87529454fbc03642,sao paulo,SP,12,17058.0,4.25,10.8,0.0,91.67,2,B,Stable
3b15288545f8928d3e65a8f949a28291,ibitinga,SP,104,16901.0,3.85,14.1,0.0,89.52,3,A,Premium
6d66611d7c44cc30ce351abc49a68421,sao paulo,SP,166,16882.0,3.91,11.6,0.0,92.05,3,A,Premium
cfb1a033743668a192316f3c6d1d2671,votorantim,SP,147,16838.0,3.93,11.4,0.53,87.3,3,A,Premium
6061155addc1e54b4cfb51c1c2a32ad8,campinas,SP,28,16823.0,4.71,5.6,0.0,97.14,2,B,Stable
669ae81880e08f269a64487cfb287169,rio do sul,SC,162,16803.0,4.1,11.5,0.53,95.74,3,A,Premium
2e90cb1677d35cfe24eef47d441b7c87,sao paulo,SP,127,16796.0,4.04,11.6,0.0,87.59,3,A,Premium
a673821011d0cec28146ea42f5ab767f,sao paulo,SP,129,16772.0,3.89,12.1,1.34,85.91,3,A,Premium
a3e9a2c700480d9bb01fba070ba80a0e,ibitinga,SP,130,16756.0,4.01,12.8,0.0,89.19,3,A,Premium
f9244d45189d3a3605499abddeade7d5,sao paulo,SP,21,16608.0,4.29,14.6,0.0,95.24,2,B,Stable
1f1bb1f0859883505541bdd6606193e5,sao paulo,SP,27,16567.0,4.31,13.8,0.0,89.66,2,B,Stable
8e6d7754bc7e0f22c96d255ebda59eba,sao jose dos campos,SP,85,16491.0,3.02,13.6,0.0,86.47,3,A,Premium
75d34ebb1bd0bd7dde40dd507b8169c3,salvador,BA,62,16480.0,3.82,15.6,1.39,79.17,2,B,Stable
c847e075301870dd144a116762eaff9a,uberaba,MG,42,16463.0,4.17,16.3,2.33,88.37,2,B,Stable
